brand,level,energy_code,energy_name,fuel_grade,launch_date,launch_year,launch_month,launch_season,price_wan,warranty_years,warranty_km_wan,displacement_L,horsepower,engine_type,is_electric,gear_count,trans_type,doors,seats,body_type,body_structure
江铃,皮卡,1,柴油,0,2019-10-10,2019,10,Q4,10.63,,,2.0,142.0,L4,0,6.0,MT,4,5,PICKUP,皮卡
江铃,皮卡,1,柴油,0,2019-10-09,2019,10,Q4,11.38,,,2.0,142.0,L4,0,6.0,AT,4,5,PICKUP,皮卡
江铃,皮卡,1,柴油,0,2019-10-09,2019,10,Q4,11.58,,,2.0,142.0,L4,0,6.0,AT,4,5,PICKUP,皮卡
江铃,皮卡,1,柴油,0,2019-10-10,2019,10,Q4,11.88,,,2.0,142.0,L4,0,6.0,MT,4,5,PICKUP,皮卡
江铃,皮卡,1,柴油,0,2019-10-10,2019,10,Q4,12.03,,,2.0,142.0,L4,0,6.0,MT,4,5,PICKUP,皮卡
广汽集团,小型SUV,0,纯电动,0,2019-09-01,2019,9,Q3,12.98,3,12.0,,,,0,,,5,5,SUV,5门5座SUV
广汽集团,小型SUV,0,纯电动,0,2019-09-01,2019,9,Q3,13.98,3,12.0,,,,0,,,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,7.58,3,10.0,1.5,150.0,L4,0,6.0,MT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,7.88,3,10.0,1.5,150.0,L4,0,6.0,MT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,8.28,3,10.0,1.5,150.0,L4,0,6.0,MT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,8.28,3,10.0,1.5,150.0,L4,0,6.0,MT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,8.48,3,10.0,1.5,150.0,L4,0,0.0,CVT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,8.78,3,10.0,1.5,150.0,L4,0,0.0,CVT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,8.98,3,10.0,1.5,150.0,L4,0,6.0,MT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,9.18,3,10.0,1.5,150.0,L4,0,0.0,CVT,5,5,SUV,5门5座SUV
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,9.18,3,10.0,1.5,150.0,L4,0,0.0,CVT,5,5,SUV,5门5座SUV
