
=== 基础统计 ===

--- 品牌Top10 ---
盛唐,5
铂驰,5
龙程汽车,4
恒信致远,4
拉帝,4
新特汽车,4
埃尚,4
未奥汽车,4
极越,4
欧朗,4
华境,4
红星汽车,4
英力士掷弹兵,4
越界,4
车驰汽车,4
道朗格,4
firefly萤火虫,4
ROX极石,4
光冈,3
萨博,3
北汽道达,3
华颂,3
乔治·巴顿,3
卡驰汽车,3
速达,3
比德文汽车,3
吉祥汽车,3
欧铃汽车,3
普曼·巅峰,3
悍马,3
SHELBY,3
SERES赛力斯,3
RAM,3
恒润汽车,3
安凯客车,3
安徽猎豹,3
LITE,3
科尼赛克,3
容大智造,3
神州,3
罗夫哈特,3
申龙汽车,3
自游家,3
华骐,2
启境,2
如虎,2
迈迈,2
金龙礼宾,2
东风·瑞泰特,2
迈越,2
宇通房车,2
银隆新能源,2
瑞一汽车,2
珑致,2
驰远,2
野马新能源,2
仁拓博歌,2
蓝擎汽车,2
裕路,2
AC Schnitzer,2
云雀汽车,2
灵悉,2
IMSA英飒,2
迈巴赫,1
运良汽车,1
FREELANDER 神行者,1
宝骐汽车,1
LOCAL MOTORS,1
布加迪,1
世爵,1
世极,1
比克汽车,1
示界,1
万达客车,1
宏运,1
敏安汽车,1
奕境,1
brand,1
宏远汽车,1
恒驰,1
SONGSAN MOTORS,1
KTM,1
富古汽车,1
前途,1
华东汽车,1
御捷,1
诺马迪森房车,1
之诺,1
沙龙汽车,1
中通客车,1
中意房车,1
汇天,1
超境汽车,1
帕加尼,1
ALPINA,1

--- 级别分布 ---
level,cnt
皮卡,3532
轻客,2779
紧凑型SUV,2532
微卡,2441
中型SUV,2236
紧凑型车,1916
微面,1499
中型车,1129
中大型MPV,1057
中大型SUV,989
小型SUV,936
小型车,708
中大型车,696
紧凑型MPV,655
微型车,528
跑车,366
轻卡,307
大型SUV,282
中型MPV,217
大型车,183
大型MPV,19
高端皮卡,6
-,4
低端皮卡,2
飞行汽车,1
level,1
MPV,1

--- 能源类型 ---
energy_name,cnt
汽油,11973
纯电动,5873
柴油,3829
插电式混合动力,1373
汽油+48V轻混系统,592
增程式,507
油电混合,408
汽油+CNG,282
-,86
柴油+48V轻混系统,50
CNG,23
甲醇混动,9
汽油电驱,8
氢燃料,7
汽油+24V轻混系统,1
energy_name,1

--- 车身结构 ---
body_type,cnt
SUV,6973
TRUCK,4344
PICKUP,3524
SEDAN,3164
BUS,2550
MPV,1943
HATCHBACK,1713
COUPE,264
,259
CONVERTIBLE,161
WAGON,126
body_type,1

--- 变速箱大类 ---
trans_type,cnt
MT,8385
AT,5619
,5066
DCT,1958
CVT,1581
EV,1465
DHT,782
OTHER,165
trans_type,1

--- 变速箱亚型 ---
trans_subtype,cnt
MT-5挡,5556
-?挡,5066
MT-6挡,2812
AT-8挡,2657
CVT-0挡,1581
EV-1挡,1465
DCT-7挡,1456
AT-6挡,1299
AT-9挡,805
AT-4挡,401
DHT-1挡,364
DCT-6挡,363
AT-5挡,196
DHT-2挡,186
DHT-3挡,158
AT-7挡,127
DCT-8挡,115
AT-10挡,113
OTHER-6挡,79
DHT-4挡,65
OTHER-5挡,47
OTHER-10挡,34
AT-2挡,19
DCT-9挡,17
MT-7挡,11
DHT-?挡,9
DCT-5挡,7
MT-4挡,6
OTHER-7挡,4
AT-12挡,2
OTHER-12挡,1
trans_type-?挡,1

--- 燃油标号 ---
fuel_label,cnt
92号,11817
未知,10239
95号,2855
98号,92
89号,18
fuel_grade号,1

--- 气缸布局 ---
engine_type,cnt
L4,16738
,5994
EV,562
V6,556
RANGE_EXT,301
L3,282
V8,253
L6,182
V12,47
H4,46
H6,21
L5,15
V10,10
--,7
V2,3
R2,2
W16,1
engine_type,1
电动机,1

--- 质保里程类型 ---
warranty_km_type,cnt
有限里程,16008
未知,8262
不限里程,752

--- 上市年份 ---
launch_year,cnt
2007,7
2008,32
2009,88
2010,198
2011,403
2012,413
2013,529
2014,516
2015,527
2016,568
2017,721
2018,860
2019,1078
2020,1103
2021,1298
2022,1755
2023,2967
2024,3449
2025,5278
2026,2418

--- 价格区间 ---
price_range,cnt
10-20万,11141
10万以下,7191
20-30万,2766
30-50万,1719
50万以上,1676

--- 座位数 ---
seats,cnt
2,265
3,5
4,868
5,13757
6,516
7,2351
8,68
9,129

--- 档位数 ---
gear_count,cnt
0,1581
1,1829
2,205
3,158
4,472
5,5806
6,4553
7,1598
8,2772
9,822
10,147
12,3

=== 业务关联 ===

--- 品牌级别价格区间 ---
brand,level,price_min,price_max,price_avg,cnt
丰田,中型MPV,36.38,61.0,45.19,3
景飞汽车,中型MPV,36.8,39.8,38.3,2
沃森威尔,中型MPV,36.8,36.8,36.8,4
LEVC,中型MPV,33.98,36.98,35.65,6
西雅特,中型MPV,29.92,36.57,33.13,6
纳智捷,中型MPV,16.98,41.8,31.14,4
雷诺,中型MPV,25.88,32.88,29.55,3
